Protein,Function,Is Cancer,Result test 1
Prot_3816,Func_0007049,0,Unknown
Prot_3816,Func_0048754,0,Unknown
Prot_3816,Func_0016481,0,Unknown
Prot_3816,Func_0002009,0,Unknown
Prot_3816,Func_0009582,0,Unknown
Prot_3816,Func_0000790,0,Unknown
Prot_3816,Func_0009628,0,Unknown
Prot_3816,Func_0007067,0,Unknown
Prot_3816,Func_0005634,0,Unknown
Prot_3816,Func_0010553,0,Unknown
Prot_3816,Func_0006974,0,Unknown
Prot_3816,Func_0042127,0,Unknown
Prot_3816,Func_0042803,0,Unknown
Prot_3816,Func_0007623,0,Unknown
Prot_3816,Func_0033261,0,Unknown
Prot_3816,Func_0046982,0,Unknown
Prot_3816,Func_0030324,0,Unknown
Prot_3816,Func_0051301,0,Unknown
Prot_3816,Func_0005515,0,Unknown
Prot_3817,Func_0005739,0,Unknown
Prot_3817,Func_0003735,0,Unknown
Prot_3817,Func_0006412,0,Unknown
Prot_3817,Func_0005622,0,Unknown
Prot_3817,Func_0005515,0,Unknown
Prot_3817,Func_0005761,0,Unknown
Prot_3817,Func_0005840,0,Unknown
Prot_3818,Func_0043568,0,Unknown
Prot_3818,Func_0043204,0,Unknown
Prot_3818,Func_0030819,0,Unknown
Prot_3818,Func_0031770,0,Unknown
Prot_3818,Func_0060124,0,Unknown
Prot_3818,Func_0045941,0,Unknown
Prot_3818,Func_0008284,0,Unknown
Prot_3818,Func_0005576,0,Unknown
Prot_3818,Func_0046005,0,Unknown
Prot_3818,Func_0005615,0,Unknown
Prot_3818,Func_0021984,0,Unknown
Prot_3818,Func_0040018,0,Unknown
Prot_3818,Func_0007189,0,Unknown
Prot_3818,Func_0007267,0,Unknown
Prot_3818,Func_0019933,0,Unknown
Prot_3818,Func_0032094,0,Unknown
