Prot_47,Prot_6170
Prot_48,Prot_8106
Prot_48,Prot_200
Prot_49,Prot_7671
Prot_49,Prot_342
Prot_49,Prot_5436
Prot_49,Prot_4197
Prot_49,Prot_4877
Prot_49,Prot_5747
Prot_49,Prot_1845
Prot_49,Prot_4708
Prot_50,Prot_3351
Prot_50,Prot_4955
Prot_51,Prot_3806
Prot_51,Prot_6763
Prot_51,Prot_2947
Prot_51,Prot_5313
Prot_51,Prot_5707
Prot_51,Prot_1191
Prot_51,Prot_2931
Prot_51,Prot_8628
Prot_51,Prot_4904
Prot_52,Prot_1041
Prot_52,Prot_1854
Prot_52,Prot_3799
Prot_52,Prot_857
Prot_52,Prot_8650
Prot_52,Prot_776
Prot_52,Prot_5902
Prot_52,Prot_9403
Prot_52,Prot_2747
Prot_52,Prot_292
Prot_52,Prot_2164
Prot_52,Prot_6968
Prot_52,Prot_7600
Prot_52,Prot_3342
Prot_52,Prot_9628
Prot_53,Prot_4308
Prot_53,Prot_2095
Prot_54,Prot_9332
Prot_54,Prot_4997
Prot_54,Prot_1052
Prot_54,Prot_2044
Prot_54,Prot_3694
Prot_54,Prot_1455
Prot_54,Prot_4187
Prot_54,Prot_1787
Prot_54,Prot_8218
Prot_54,Prot_41
Prot_54,Prot_4631
Prot_54,Prot_9186
Prot_54,Prot_1147
Prot_54,Prot_4926
Prot_54,Prot_4722
Prot_54,Prot_7845
Prot_54,Prot_166
Prot_54,Prot_5648
Prot_55,Prot_7878
Prot_56,Prot_5334
Prot_56,Prot_8805
Prot_57,Prot_2969
Prot_57,Prot_2342
Prot_57,Prot_1290
Prot_57,Prot_3513
Prot_57,Prot_8185
Prot_57,Prot_8276
Prot_57,Prot_9693
Prot_57,Prot_5760
Prot_57,Prot_1884
Prot_57,Prot_9019
Prot_57,Prot_2359
Prot_57,Prot_995
Prot_57,Prot_9392
Prot_57,Prot_1311
Prot_57,Prot_9630
Prot_57,Prot_857
Prot_57,Prot_4972
Prot_57,Prot_920
Prot_57,Prot_6483
Prot_57,Prot_6647
Prot_57,Prot_1685
Prot_57,Prot_4359
Prot_57,Prot_9326
Prot_57,Prot_4584
Prot_57,Prot_1390
Prot_57,Prot_9197
Prot_57,Prot_3080
Prot_57,Prot_9411
Prot_57,Prot_4915
Prot_57,Prot_1631
Prot_57,Prot_10006
Prot_57,Prot_1018
Prot_57,Prot_5144
Prot_57,Prot_2395
Prot_57,Prot_5146
Prot_57,Prot_5227
Prot_57,Prot_6906
Prot_57,Prot_2148
Prot_57,Prot_5798
Prot_57,Prot_3477
Prot_57,Prot_5405
Prot_57,Prot_4385
Prot_57,Prot_1116
Prot_57,Prot_1564
Prot_57,Prot_5812
Prot_57,Prot_141
Prot_57,Prot_1504
Prot_57,Prot_3331
Prot_57,Prot_761
Prot_57,Prot_4845
Prot_57,Prot_5901
Prot_57,Prot_2576
Prot_57,Prot_5820
Prot_57,Prot_2498
Prot_57,Prot_3111
Prot_57,Prot_3990
Prot_57,Prot_9375
Prot_57,Prot_2427
Prot_57,Prot_4708
Prot_57,Prot_2170
Prot_58,Prot_6579
Prot_58,Prot_7063
Prot_58,Prot_5994
Prot_59,Prot_6374
Prot_59,Prot_7762
Prot_59,Prot_855
Prot_59,Prot_8187
Prot_59,Prot_1933
Prot_59,Prot_4733
Prot_59,Prot_2777
Prot_59,Prot_5547
Prot_59,Prot_7941
Prot_59,Prot_4805
Prot_59,Prot_4547
Prot_59,Prot_4438
Prot_59,Prot_9187
Prot_59,Prot_9225
Prot_59,Prot_9006
Prot_59,Prot_1284
Prot_60,Prot_2223
Prot_60,Prot_4935
Prot_60,Prot_6203
Prot_60,Prot_1588
Prot_60,Prot_4917
Prot_60,Prot_8462
Prot_60,Prot_7987
Prot_60,Prot_5293
Prot_60,Prot_5334
Prot_60,Prot_8923
Prot_60,Prot_6151
Prot_60,Prot_3490
Prot_60,Prot_4504
Prot_60,Prot_7316
Prot_60,Prot_6836
Prot_60,Prot_8932
Prot_60,Prot_2185
Prot_60,Prot_1201
Prot_60,Prot_1050
Prot_60,Prot_274
Prot_60,Prot_5320
Prot_60,Prot_4159
Prot_61,Prot_8678
Prot_62,Prot_8317
Prot_63,Prot_7433
Prot_63,Prot_4592
Prot_63,Prot_422
Prot_63,Prot_7559
Prot_63,Prot_8353
Prot_63,Prot_2443
Prot_63,Prot_4788
Prot_63,Prot_3725
Prot_63,Prot_2259
Prot_63,Prot_3964
Prot_63,Prot_6948
Prot_63,Prot_916
Prot_63,Prot_2949
Prot_63,Prot_3221
Prot_63,Prot_5732
Prot_63,Prot_8790
Prot_63,Prot_5887
Prot_63,Prot_4231
Prot_63,Prot_6127
Prot_63,Prot_3583
Prot_63,Prot_6263
Prot_63,Prot_6756
Prot_63,Prot_7974
Prot_63,Prot_2121
Prot_63,Prot_9002
Prot_63,Prot_8595
Prot_63,Prot_2169
Prot_63,Prot_9610
Prot_64,Prot_1399
Prot_65,Prot_5096
Prot_65,Prot_856
Prot_65,Prot_7422
Prot_65,Prot_7888
Prot_65,Prot_9611
Prot_65,Prot_1306
Prot_65,Prot_9391
Prot_65,Prot_13
Prot_65,Prot_2169
Prot_66,Prot_3676
Prot_66,Prot_1308
Prot_67,Prot_4910
Prot_67,Prot_8919
Prot_67,Prot_9939
Prot_67,Prot_9904
Prot_67,Prot_2546
Prot_67,Prot_6774
Prot_67,Prot_5466
Prot_67,Prot_3644
Prot_67,Prot_4688
Prot_67,Prot_7608
Prot_67,Prot_7925
Prot_67,Prot_5189
Prot_67,Prot_7789
Prot_67,Prot_273
Prot_67,Prot_9869
Prot_67,Prot_9698
Prot_67,Prot_8783
Prot_67,Prot_7456
Prot_67,Prot_4887
Prot_67,Prot_8059
Prot_67,Prot_8944
Prot_67,Prot_5521
Prot_67,Prot_4506
Prot_67,Prot_9063
Prot_67,Prot_5981
Prot_67,Prot_8175
Prot_67,Prot_963
Prot_68,Prot_4809
Prot_69,Prot_9297
Prot_69,Prot_19
Prot_69,Prot_9630
Prot_69,Prot_9611
Prot_69,Prot_2273
Prot_69,Prot_9862
Prot_69,Prot_3737
Prot_69,Prot_3998
Prot_69,Prot_3211
Prot_69,Prot_2743
Prot_69,Prot_4808
Prot_69,Prot_8634
Prot_69,Prot_6216
Prot_69,Prot_241
Prot_69,Prot_5678
Prot_69,Prot_259
Prot_69,Prot_691
Prot_70,Prot_5386
Prot_70,Prot_3627
Prot_70,Prot_528
Prot_70,Prot_7199
Prot_70,Prot_4708
Prot_70,Prot_4493
Prot_71,Prot_4797
Prot_71,Prot_2644
Prot_71,Prot_5146
Prot_72,Prot_2482
Prot_72,Prot_8317
Prot_72,Prot_9480
Prot_72,Prot_955
Prot_72,Prot_8296
Prot_72,Prot_3490
Prot_72,Prot_5144
Prot_72,Prot_2416
Prot_72,Prot_8695
Prot_72,Prot_5573
Prot_72,Prot_3071
Prot_72,Prot_4132
Prot_72,Prot_2938
Prot_72,Prot_653
Prot_72,Prot_6910
Prot_72,Prot_1884
Prot_72,Prot_9086
Prot_73,Prot_4772
Prot_73,Prot_1453
Prot_74,Prot_5262
Prot_74,Prot_4516
Prot_74,Prot_6855
Prot_75,Prot_8959
Prot_76,Prot_9587
Prot_77,Prot_7898
Prot_77,Prot_2901
Prot_77,Prot_4036
Prot_77,Prot_9975
Prot_78,Prot_3417
Prot_78,Prot_5492
Prot_78,Prot_5636
Prot_78,Prot_1367
Prot_78,Prot_3951
Prot_78,Prot_8190
Prot_78,Prot_2509
Prot_78,Prot_5642
Prot_78,Prot_6557
Prot_78,Prot_6323
Prot_78,Prot_9083
Prot_78,Prot_4612
Prot_78,Prot_1257
Prot_78,Prot_7694
Prot_78,Prot_1033
Prot_78,Prot_1449
Prot_78,Prot_1678
Prot_78,Prot_5609
Prot_78,Prot_2912
Prot_78,Prot_3967
Prot_78,Prot_4535
Prot_78,Prot_1608
Prot_78,Prot_7330
Prot_78,Prot_4774
Prot_78,Prot_863
Prot_78,Prot_7633
Prot_78,Prot_2577
Prot_78,Prot_4028
Prot_78,Prot_8129
Prot_78,Prot_5340
Prot_78,Prot_2831
Prot_78,Prot_9327
Prot_78,Prot_5696
Prot_78,Prot_7098
Prot_78,Prot_8424
Prot_78,Prot_4746
Prot_78,Prot_576
Prot_78,Prot_6408
Prot_78,Prot_9197
Prot_79,Prot_2240
Prot_79,Prot_3078
Prot_79,Prot_8919
Prot_79,Prot_4715
Prot_79,Prot_4330
Prot_79,Prot_1596
Prot_79,Prot_666
Prot_79,Prot_9656
Prot_79,Prot_3880
Prot_79,Prot_3881
Prot_79,Prot_430
Prot_79,Prot_9167
Prot_79,Prot_1531
Prot_79,Prot_4535
Prot_79,Prot_7663
Prot_79,Prot_6167
Prot_79,Prot_5407
Prot_79,Prot_9707
Prot_79,Prot_3448
Prot_79,Prot_3700
Prot_79,Prot_3156
Prot_79,Prot_3586
Prot_79,Prot_6610
Prot_79,Prot_5696
Prot_79,Prot_7269
Prot_79,Prot_7389
Prot_79,Prot_6449
Prot_79,Prot_4856
Prot_80,Prot_3694
Prot_80,Prot_6133
Prot_80,Prot_8549
Prot_80,Prot_9373
Prot_80,Prot_2770
Prot_81,Prot_7867
Prot_81,Prot_5466
Prot_81,Prot_1596
Prot_82,Prot_9479
Prot_82,Prot_7828
Prot_82,Prot_4893
Prot_83,Prot_8783
Prot_83,Prot_8637
Prot_84,Prot_6231
Prot_85,Prot_3186
Prot_85,Prot_2342
Prot_85,Prot_1262
Prot_85,Prot_3881
Prot_85,Prot_7280
Prot_85,Prot_5842
Prot_85,Prot_4983
Prot_86,Prot_6360
Prot_86,Prot_2048
Prot_87,Prot_5023
Prot_88,Prot_2232
Prot_88,Prot_9290
Prot_88,Prot_5052
Prot_88,Prot_8937
Prot_88,Prot_1248
Prot_88,Prot_9716
Prot_88,Prot_7756
Prot_88,Prot_8132
Prot_88,Prot_2644
Prot_88,Prot_2636
Prot_88,Prot_4656
Prot_89,Prot_7446
Prot_89,Prot_8328
Prot_89,Prot_9169
Prot_89,Prot_2230
Prot_90,Prot_2458
Prot_90,Prot_6078
Prot_90,Prot_7875
Prot_90,Prot_357
Prot_90,Prot_8317
Prot_90,Prot_2938
Prot_90,Prot_8815
Prot_90,Prot_5833
Prot_90,Prot_6524
Prot_91,Prot_4523
Prot_91,Prot_9958
Prot_92,Prot_149
Prot_92,Prot_8567
Prot_93,Prot_6822
Prot_94,Prot_8047
Prot_95,Prot_7081
Prot_95,Prot_4102
Prot_95,Prot_3975
Prot_96,Prot_1123
Prot_96,Prot_1134
Prot_96,Prot_6203
Prot_96,Prot_2997
Prot_96,Prot_9458
Prot_96,Prot_4373
Prot_96,Prot_3490
Prot_96,Prot_5198
Prot_97,Prot_4084
Prot_97,Prot_5828
Prot_97,Prot_9445
Prot_97,Prot_4036
Prot_97,Prot_5871
Prot_97,Prot_8923
Prot_97,Prot_7284
Prot_97,Prot_7991
Prot_97,Prot_10010
Prot_97,Prot_3429
Prot_97,Prot_7997
Prot_97,Prot_2057
Prot_97,Prot_5837
Prot_97,Prot_947
Prot_97,Prot_6160
Prot_97,Prot_9975
Prot_97,Prot_7447
Prot_97,Prot_948
